DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_YEAR,MEASURE_NAME,MEASURE_VALUE
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2002/2003,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2003/2004,FIRST TIME GRADE 12 GRAD,67
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2004/2005,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2005/2006,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2006/2007,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2007/2008,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2008/2009,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2009/2010,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2010/2011,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2011/2012,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,1996/1997,FIRST TIME GRADE 12 GRAD,75
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,1997/1998,FIRST TIME GRADE 12 GRAD,59
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,1998/1999,FIRST TIME GRADE 12 GRAD,64
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,1999/2000,FIRST TIME GRADE 12 GRAD,64
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2000/2001,FIRST TIME GRADE 12 GRAD,61
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2001/2002,FIRST TIME GRADE 12 GRAD,62
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2002/2003,FIRST TIME GRADE 12 GRAD,60
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2003/2004,FIRST TIME GRADE 12 GRAD,55
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2004/2005,FIRST TIME GRADE 12 GRAD,52
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2005/2006,FIRST TIME GRADE 12 GRAD,61
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2006/2007,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2007/2008,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2008/2009,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2009/2010,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2010/2011,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2011/2012,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,1996/1997,FIRST TIME GRADE 12 GRAD,75
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,1997/1998,FIRST TIME GRADE 12 GRAD,73
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,1998/1999,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,1999/2000,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2000/2001,FIRST TIME GRADE 12 GRAD,74
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2001/2002,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2002/2003,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2003/2004,FIRST TIME GRADE 12 GRAD,83
