DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,82.2
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,82.9
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,84.7
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,86.2
DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,86.5
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,64.4
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,64.4
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,65
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,66.3
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,65.4
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,68.8
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,65.9
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,61.7
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,65.7
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,63.9
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,65.4
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,67.7
DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,65
DISTRICT LEVEL,BC Public School,28,Quesnel,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,63
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,68
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,70.3
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,71.7
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,69.5
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,70.8
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,72.1
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,75.1
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,73.7
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,77.4
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,78
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,82.9
DISTRICT LEVEL,BC Public School,28,Quesnel,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,78.7
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,65.8
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,71
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,72
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,71.9
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,72.7
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,69.3
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,69.3
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,71.9
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,67.9
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,68.8
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,69.1
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,33,Chilliwack,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,74.9
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,79.7
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,77.9
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,77.8
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,78.1
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,83.6
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,74.8
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,76.3
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,79
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,80.4
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,84.4
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,85.9
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,88.6
DISTRICT LEVEL,BC Public School,34,Abbotsford,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,86
DISTRICT LEVEL,BC Public School,35,Langley,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,35,Langley,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,72.9
DISTRICT LEVEL,BC Public School,35,Langley,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,76.7
DISTRICT LEVEL,BC Public School,35,Langley,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,77.3
DISTRICT LEVEL,BC Public School,35,Langley,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,76.9
DISTRICT LEVEL,BC Public School,35,Langley,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,77.5
DISTRICT LEVEL,BC Public School,35,Langley,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,79.7
DISTRICT LEVEL,BC Public School,35,Langley,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,79
DISTRICT LEVEL,BC Public School,35,Langley,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,77.9
DISTRICT LEVEL,BC Public School,35,Langley,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,79.5
DISTRICT LEVEL,BC Public School,35,Langley,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,82.5
DISTRICT LEVEL,BC Public School,35,Langley,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,83.9
DISTRICT LEVEL,BC Public School,35,Langley,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,85.1
DISTRICT LEVEL,BC Public School,36,Surrey,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,76.2
DISTRICT LEVEL,BC Public School,36,Surrey,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,77.6
DISTRICT LEVEL,BC Public School,36,Surrey,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,77
DISTRICT LEVEL,BC Public School,36,Surrey,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,80.6
DISTRICT LEVEL,BC Public School,36,Surrey,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,82
DISTRICT LEVEL,BC Public School,36,Surrey,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,82.5
DISTRICT LEVEL,BC Public School,36,Surrey,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,83
DISTRICT LEVEL,BC Public School,36,Surrey,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,82.5
DISTRICT LEVEL,BC Public School,36,Surrey,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,81.7
DISTRICT LEVEL,BC Public School,36,Surrey,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,82.7
DISTRICT LEVEL,BC Public School,36,Surrey,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,82.1
DISTRICT LEVEL,BC Public School,36,Surrey,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,83.4
DISTRICT LEVEL,BC Public School,36,Surrey,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,83.9
DISTRICT LEVEL,BC Public School,37,Delta,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,85.1
DISTRICT LEVEL,BC Public School,37,Delta,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,85.4
DISTRICT LEVEL,BC Public School,37,Delta,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,84.3
DISTRICT LEVEL,BC Public School,37,Delta,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,86.3
DISTRICT LEVEL,BC Public School,37,Delta,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,85.7
