SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,19,Revelstoke,1919011,Mount Begbie Elementary,Standard,420 Downie St,Revelstoke,BC,V0E2S0,250 837-4056,,50.9921,-118.188,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,19,Revelstoke,1919013,Columbia Park Elementary,Standard,120 Colbeck,Revelstoke,BC,V0E2S0,250 837-4744,,51.0147,-118.219,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,19,Revelstoke,1919015,Arrow Heights Elementary,Standard,1950 Park Dr,Revelstoke,BC,V0E2S1,250 837-6360,,50.977,-118.177,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2009006,Kinnaird Elementary,Standard,2273 10 Ave,Castlegar,BC,V1N2Z8,250 365-8478,250 365-0338,49.288,-117.653,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2009010,Stanley Humphries Secondary,Standard,720 7 Ave,Castlegar,BC,V1N1R5,250 365-7735,250 365-0247,49.32,-117.661,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2009011,Twin Rivers Elementary,Standard,649 7 Ave,Castlegar,BC,V1N1R6,250 365-8465,250 365-0994,49.3212,-117.658,ELEMENTARY,07-Mar,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2009017,Castlegar Primary School,Standard,749 7 Ave,Castlegar,BC,V1N4E1,250 365-5744,250 365-0925,49.3194,-117.659,ELEMENTARY,K-2,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2011004,MacLean Elementary,Standard,2160 St Paul St,Rossland,BC,V0G1Y0,250 362-9050,250 362-5480,49.0787,-117.797,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2011005,Fruitvale Elementary,Standard,1867 W Columbia Gdns Rd B580,Fruitvale,BC,V0G1L0,250 367-7541,250 367-7027,49.1119,-117.546,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2011009,James L Webster Elementary,Standard,395 Schofield Hwy,Trail,BC,V1R2G5,250 368-3242,250 368-6911,49.0953,-117.744,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2011012,J Lloyd Crowe Secondary,Standard,1300 Frances Moran Rd,Trail,BC,V1R4L9,250 368-5591,250 364-1567,49.1031,-117.699,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2011014,Rossland Secondary,Standard,2390 Jubilee St,Rossland,BC,V0G1Y0,250 362-7388,250 362-5739,49.0808,-117.799,ELEMENTARY SECONDARY,12-Jun,TRUE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2011015,Glenmerry Elementary,Standard,3660 Carnation Dr,Trail,BC,V1R2W6,250 364-1353,250 364-9819,49.0988,-117.661,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2020000,Continuing Ed SD 20,Continuing Ed,1290 Esplanade Ave Suite 123,Trail,BC,V1R4T2,250 368-5316,250 368-6370,49.0967,-117.707,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2020021,Robson Community School,Standard,3131 Waldie Ave,Robson,BC,V0G1X0,250 365-5922,250 365-3384,49.3349,-117.699,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,20,Kootenay-Columbia,2099088,Cooperative Education,Alternate,2000 3rd Ave,Trail,BC,V1R1R6,250 364-1275,250 364-5743,49.097,-117.695,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,20,Kootenay-Columbia,2099089,Junior Alternate Program,Alternate,2000 3rd Ave,Trail,BC,V1R1R6,250 364-1275,250 364-5743,49.097,-117.695,ELEMENTARY SECONDARY,12-Aug,FALSE,TRUE
